iter	Passed	Remaining
0	54	54715
1	55	27519
2	55	18449
3	55	13911
4	56	11187
5	56	9371
6	56	8074
7	57	7098
8	57	6343
9	57	5739
10	58	5241
11	58	4828
12	59	4481
13	59	4184
14	59	3925
15	60	3700
16	60	3500
17	60	3321
18	61	3161
19	61	3016
20	61	2884
21	62	2766
22	62	2658
23	62	2557
24	63	2465
25	63	2382
26	63	2304
27	64	2230
28	64	2163
29	64	2099
30	65	2040
31	65	1984
32	65	1932
33	66	1882
34	66	1836
35	66	1792
36	67	1750
37	67	1711
38	67	1674
39	68	1638
40	68	1604
41	68	1572
42	69	1541
43	69	1511
44	69	1483
45	70	1455
46	70	1429
47	70	1404
48	71	1380
49	71	1358
50	71	1336
51	72	1316
52	72	1296
53	72	1277
54	73	1259
55	73	1241
56	73	1223
57	74	1206
58	74	1190
59	74	1174
60	75	1158
61	75	1143
62	75	1129
63	76	1115
64	76	1101
65	76	1088
66	77	1076
67	77	1063
68	77	1051
69	78	1040
70	78	1028
71	78	1017
72	79	1006
73	79	995
74	79	985
75	80	975
76	80	966
77	80	956
78	81	947
79	81	938
80	81	929
81	82	921
82	82	911
83	82	903
84	83	895
85	83	887
86	83	879
87	84	872
88	84	864
89	84	857
90	85	850
91	85	843
92	85	836
93	86	830
94	86	824
95	86	817
96	87	811
97	87	805
98	87	799
99	88	794
100	88	788
101	88	783
102	89	778
103	89	772
104	90	767
105	90	761
106	90	756
107	90	751
108	91	746
109	91	741
110	92	736
111	92	732
112	92	727
113	93	723
114	93	718
115	93	714
116	94	709
117	94	705
118	94	701
119	95	697
120	95	693
121	95	688
122	96	684
123	96	680
124	96	677
125	97	673
126	97	668
127	97	665
128	98	661
129	98	658
130	98	654
131	99	651
132	99	647
133	99	644
134	100	641
135	100	637
136	100	634
137	101	631
138	101	627
139	101	625
140	102	622
141	102	618
142	102	616
143	103	613
144	103	610
145	103	607
146	104	604
147	104	601
148	104	598
149	105	595
150	105	593
151	105	590
152	106	587
153	106	585
154	106	582
155	107	579
156	107	577
157	107	575
158	108	572
159	108	570
160	108	566
161	109	564
162	109	561
163	109	559
164	110	557
165	110	555
166	110	552
167	111	550
168	111	548
169	111	545
170	112	543
171	112	541
172	112	539
173	113	537
174	113	535
175	113	533
176	114	531
177	114	529
178	114	527
179	115	525
180	115	523
181	115	520
182	116	519
183	116	517
184	116	515
185	117	513
186	117	511
187	117	509
188	118	507
189	118	506
190	119	504
191	119	504
192	120	503
193	120	501
194	121	499
195	121	497
196	121	495
197	122	494
198	122	492
199	122	491
200	123	489
201	123	487
202	123	485
203	124	484
204	124	482
205	124	481
206	125	479
207	125	477
208	125	476
209	126	474
210	126	473
211	126	471
212	127	469
213	127	468
214	127	466
215	128	465
216	128	463
217	128	462
218	129	460
219	129	459
220	129	457
221	130	456
222	130	454
223	130	453
224	131	452
225	131	450
226	131	449
227	132	447
228	132	446
229	133	445
230	133	443
231	133	442
232	134	441
233	134	440
234	134	438
235	135	437
236	135	436
237	135	434
238	136	433
239	136	432
240	136	430
241	137	429
242	137	428
243	137	427
244	138	426
245	138	424
246	138	423
247	139	422
248	139	421
249	140	420
250	140	419
251	140	417
252	141	416
253	141	415
254	141	414
255	142	413
256	142	412
257	142	410
258	143	409
259	143	408
260	143	407
261	144	406
262	144	405
263	144	404
264	145	403
265	145	401
266	146	400
267	146	400
268	146	399
269	147	398
270	147	397
271	148	396
272	148	395
273	148	394
274	149	393
275	149	392
276	149	391
277	150	390
278	150	389
279	151	388
280	151	387
281	151	386
282	152	385
283	152	384
284	152	383
285	153	382
286	153	381
287	154	380
288	154	379
289	154	378
290	155	377
291	155	377
292	155	376
293	156	375
294	156	374
295	156	373
296	157	372
297	157	371
298	158	370
299	158	369
300	158	368
301	159	367
302	159	366
303	159	366
304	160	365
305	160	364
306	161	363
307	161	362
308	161	361
309	162	360
310	162	359
311	162	358
312	163	357
313	163	357
314	163	356
315	164	355
316	164	354
317	164	353
318	165	352
319	165	352
320	166	351
321	166	350
322	166	349
323	167	348
324	167	347
325	168	348
326	169	348
327	170	349
328	170	348
329	171	347
330	172	348
331	172	347
332	173	347
333	174	347
334	174	347
335	175	347
336	176	347
337	177	346
338	177	346
339	178	346
